ano,mes,dia,hora,brilho,tensao
2025,11,15,21:41:38,41.15,4.76
2025,11,15,21:43:25,58.72,0.37
2025,11,15,21:46:48,27.6,4.1
2025,11,15,21:46:49,6.46,0.91
2025,11,15,21:46:50,41.49,2.94
2025,11,15,21:46:52,10.14,3.15
2025,11,15,21:46:53,23.38,3.91
2025,11,15,21:46:54,46.33,3.93
2025,11,15,21:46:55,62.57,2.31
2025,11,15,21:46:56,10.68,2.69
2025,11,15,21:46:57,37.75,3.27
2025,11,15,21:46:58,81.69,0.21
2025,11,15,21:46:59,38.24,2.03
2025,11,15,21:47:00,58.27,3.77
2025,11,15,21:47:01,98.44,1.99
2025,11,15,21:47:02,70.5,4.07
2025,11,15,21:47:03,28.94,0.92
2025,11,15,21:47:04,10.3,4.08
2025,11,15,21:47:05,90.64,1.34
2025,11,15,21:47:06,33.81,3.38
2025,11,15,21:47:07,51.19,4.48
2025,11,15,21:47:08,42.78,4.13
2025,11,15,21:47:09,74.92,1.11
2025,11,15,21:47:10,44.1,0.71
2025,11,15,21:47:11,7.56,0.48
2025,11,15,21:47:12,61.66,0.38
2025,11,15,21:47:13,92.66,2.33
2025,11,15,21:47:14,17.21,2.87
2025,11,15,21:47:15,89.77,0.4
2025,11,15,21:47:16,1.18,0.93
2025,11,15,21:47:17,87.18,4.52
2025,11,15,21:47:18,51.26,3.37
2025,11,15,21:47:19,55.4,1.65
2025,11,15,21:47:20,74.37,1.89
2025,11,15,21:47:21,39.14,4.75
2025,11,15,21:47:22,35.26,1.2
2025,11,15,21:47:23,67.89,3.16
2025,11,15,21:47:25,16.89,0.53
2025,11,15,21:47:26,81.43,3.88
2025,11,15,21:47:27,69.65,4.13
2025,11,15,21:47:28,54.43,1.57
2025,11,15,21:49:43,40.89,4.03
2025,11,15,21:49:44,21.31,1.08
2025,11,15,21:49:45,3.7,0.51
2025,11,15,21:49:46,92.05,1.16
2025,11,15,21:49:47,86.39,4.83
2025,11,15,21:49:48,5.23,2.52
2025,11,15,21:49:49,24.69,2.46
2025,11,15,21:49:50,2.49,1.01
2025,11,15,21:49:51,16.15,1.69
2025,11,15,21:49:52,75.74,2.04
2025,11,15,21:49:53,50.67,3.66
2025,11,15,21:49:54,43.55,1.33
2025,11,15,21:49:55,61.24,2.3
2025,11,15,21:49:56,66.77,1.86
2025,11,15,21:49:57,8.73,4.68
2025,11,15,21:49:58,70.36,4.76
2025,11,15,21:49:59,33.72,3.57
2025,11,15,21:50:00,94.75,3.48
2025,11,15,21:50:01,40.31,2.04
2025,11,15,21:50:02,33.39,3.28
2025,11,15,21:50:03,61.85,0.4
2025,11,15,21:50:04,21.63,0.49
2025,11,15,21:50:05,14.14,2.82
2025,11,15,21:50:06,43.73,0.65
2025,11,15,21:50:08,73.38,0.28
2025,11,15,21:50:09,62.71,0.83
2025,11,15,21:50:10,91.33,2.44
2025,11,15,21:51:15,92.05,3.82
2025,11,15,21:51:16,18.07,2.02
2025,11,15,21:51:18,26.4,2.78
2025,11,15,21:51:19,86.6,0.35
2025,11,15,21:51:20,44.3,3.73
2025,11,15,21:51:21,30.54,2.44
2025,11,15,21:51:22,49.87,3.02
2025,11,15,21:54:05,28.07,0.9
2025,11,15,21:54:06,87.0,0.16
2025,11,15,21:54:07,7.92,0.28
2025,11,15,21:54:08,72.61,1.02
2025,11,15,21:54:10,82.79,0.21
2025,11,15,21:54:11,52.53,3.61
2025,11,15,21:54:12,13.01,0.66
2025,11,15,21:54:13,65.2,0.5
2025,11,15,21:54:14,99.5,2.72
2025,11,15,21:54:15,44.09,2.23
2025,11,15,21:54:16,26.76,3.22
2025,11,15,21:54:17,79.25,1.7
2025,11,15,21:54:18,4.1,3.9
2025,11,15,21:54:19,33.95,0.82
2025,11,15,21:54:20,99.96,2.55
2025,11,15,21:54:21,36.45,0.3
2025,11,15,21:54:22,82.14,1.2
2025,11,15,21:54:23,17.91,1.33
2025,11,15,21:54:24,91.99,2.22
2025,11,15,21:54:25,34.12,4.86
2025,11,15,21:54:26,38.94,1.96
2025,11,15,21:54:27,95.78,3.2
2025,11,15,21:54:28,72.49,1.51
2025,11,15,21:54:29,45.9,3.65
2025,11,15,21:54:30,66.48,4.17
2025,11,15,21:54:31,5.99,3.02
2025,11,15,21:54:32,34.54,4.0
2025,11,15,21:54:33,88.28,3.0
2025,11,15,21:54:34,83.27,2.57
2025,11,15,21:54:35,98.54,3.11
2025,11,15,21:54:36,40.31,1.42
2025,11,15,21:54:37,43.34,4.92
2025,11,15,21:54:38,96.06,2.65
2025,11,15,21:54:39,33.84,2.53
2025,11,15,21:54:40,1.39,3.83
2025,11,15,21:54:42,65.15,1.64
2025,11,15,21:54:43,72.08,3.39
2025,11,15,21:54:44,36.67,3.49
2025,11,15,21:54:45,69.08,0.98
2025,11,15,21:54:46,33.69,2.67
2025,11,15,21:55:46,99.8,1.84
2025,11,15,21:55:49,74.85,1.06
2025,11,15,21:55:52,56.24,2.03
2025,11,15,21:55:55,63.23,1.38
2025,11,15,21:55:58,16.07,3.35
2025,11,15,21:56:01,8.21,4.19
2025,11,15,21:56:04,61.74,1.17
2025,11,15,21:56:41,20.99,4.99
2025,11,15,21:56:43,82.47,4.6
2025,11,15,21:56:44,34.76,4.88
2025,11,15,21:56:45,55.89,2.58
2025,11,15,21:56:46,22.9,4.12
2025,11,15,21:56:47,62.63,0.73
2025,11,15,21:56:48,49.1,2.4
2025,11,15,21:56:49,10.25,3.62
2025,11,15,21:56:50,81.87,1.52
2025,11,15,21:56:51,84.79,4.02
2025,11,15,21:56:52,17.42,1.17
2025,11,15,21:56:53,68.32,3.04
2025,11,15,21:56:54,44.99,0.44
2025,11,15,21:56:55,31.74,2.25
2025,11,15,21:56:56,25.93,0.71
2025,11,15,21:56:57,83.8,4.91
2025,11,15,21:56:58,73.8,3.39
2025,11,15,21:56:59,62.31,2.92
2025,11,15,21:57:00,5.06,1.6
2025,11,15,21:57:01,19.74,0.73
2025,11,15,21:57:02,27.88,1.11
2025,11,15,21:57:03,40.1,4.24
2025,11,15,21:57:04,67.81,3.66
2025,11,15,21:57:05,22.81,3.93
2025,11,15,21:57:06,29.23,1.17
2025,11,15,21:57:07,95.98,1.18
2025,11,15,21:57:08,3.05,3.47
2025,11,15,21:57:09,90.95,2.01
2025,11,15,21:57:10,60.93,0.7
2025,11,15,21:57:11,29.53,2.09
2025,11,15,21:57:13,75.11,3.91
2025,11,15,21:57:14,96.9,2.62
2025,11,15,21:57:15,38.22,2.95
2025,11,15,21:57:16,84.27,1.23
2025,11,15,21:57:17,65.2,4.1
2025,11,15,21:57:18,92.78,2.01
2025,11,15,21:57:19,98.67,3.57
2025,11,15,21:57:20,30.31,4.7
2025,11,15,21:57:21,51.59,3.73
2025,11,15,21:57:22,40.82,2.32
2025,11,15,21:57:50,25.33,1.44
2025,11,15,21:57:51,45.81,2.02
2025,11,15,21:57:52,26.11,3.48
2025,11,15,21:57:53,91.73,2.65
2025,11,15,21:57:54,30.55,3.87
2025,11,15,21:57:55,34.69,3.66
2025,11,15,21:57:56,99.76,0.35
