ano,mes,dia,hora,brilho,tensao
2025,11,15,20:31:38,6.89,3.26
2025,11,15,20:31:40,75.0,0.94
2025,11,15,20:31:41,59.35,2.61
2025,11,15,20:31:42,37.11,1.44
2025,11,15,20:31:49,52.25,2.81
2025,11,15,20:31:50,55.56,2.88
2025,11,15,20:31:51,86.29,3.34
2025,11,15,20:31:52,69.32,0.84
2025,11,15,20:31:54,41.14,4.04
2025,11,15,20:31:55,10.83,2.95
2025,11,15,20:31:56,39.86,0.29
2025,11,15,20:31:57,4.09,4.98
2025,11,15,20:31:58,38.97,3.56
2025,11,15,20:31:59,60.13,3.2
2025,11,15,20:32:00,31.23,2.06
2025,11,15,20:32:01,95.41,3.96
2025,11,15,20:32:02,11.28,2.65
2025,11,15,20:32:03,55.21,3.06
2025,11,15,20:32:04,16.88,4.42
2025,11,15,20:32:05,67.79,0.75
2025,11,15,20:32:06,5.94,0.64
2025,11,15,20:32:08,50.28,2.03
2025,11,15,20:32:09,39.56,4.92
2025,11,15,20:32:10,22.5,2.94
2025,11,15,20:32:11,23.32,3.47
2025,11,15,20:32:12,7.29,2.76
2025,11,15,20:32:13,7.15,2.58
2025,11,15,20:32:14,12.94,3.99
2025,11,15,20:32:15,4.4,1.14
2025,11,15,20:32:29,15.69,3.32
2025,11,15,20:32:30,49.55,2.61
2025,11,15,20:32:43,35.43,3.02
2025,11,15,20:32:44,85.75,0.97
2025,11,15,20:35:13,51.85,3.31
2025,11,15,20:35:14,83.37,0.95
2025,11,15,20:35:15,76.56,4.36
2025,11,15,20:35:42,55.21,1.17
2025,11,15,20:35:44,58.13,4.51
2025,11,15,20:35:45,50.55,4.8
2025,11,15,20:35:46,18.98,1.49
2025,11,15,20:35:47,52.73,1.34
2025,11,15,20:35:48,75.99,2.67
2025,11,15,20:35:49,53.55,4.31
2025,11,15,20:36:04,27.14,4.93
2025,11,15,20:36:05,97.22,0.78
2025,11,15,20:36:06,59.6,2.98
2025,11,15,20:36:07,59.22,0.21
2025,11,15,20:36:08,1.47,4.25
2025,11,15,20:36:09,65.76,4.6
2025,11,15,20:36:10,23.04,1.12
2025,11,15,20:36:11,5.38,0.15
2025,11,15,20:36:12,13.49,0.53
2025,11,15,20:36:13,84.24,2.07
2025,11,15,20:36:14,27.86,2.21
2025,11,15,20:36:15,48.23,2.77
2025,11,15,20:36:16,0.7,1.57
2025,11,15,20:36:17,54.4,3.83
2025,11,15,20:36:19,78.38,4.6
2025,11,15,20:36:20,59.58,4.1
2025,11,15,20:36:21,39.76,4.86
2025,11,15,20:36:22,17.91,2.17
2025,11,15,20:36:25,2.67,2.92
2025,11,15,20:36:26,77.55,3.83
2025,11,15,20:36:27,79.98,2.87
2025,11,15,20:36:28,99.24,1.41
2025,11,15,20:36:29,96.24,2.2
2025,11,15,20:36:30,23.04,4.03
2025,11,15,20:36:31,39.58,2.27
2025,11,15,20:36:32,93.38,0.35
2025,11,15,20:36:33,26.3,1.26
2025,11,15,20:36:34,76.6,4.11
2025,11,15,20:36:36,47.6,4.47
2025,11,15,20:36:37,34.82,2.06
2025,11,15,20:36:38,85.57,1.73
2025,11,15,20:36:39,47.75,3.16
2025,11,15,20:36:40,68.24,4.1
2025,11,15,20:36:41,6.03,2.02
2025,11,15,20:36:42,85.91,0.69
2025,11,15,20:36:43,60.94,4.99
2025,11,15,20:36:44,21.86,0.37
2025,11,15,20:36:45,5.68,2.44
2025,11,15,20:36:46,68.38,2.23
2025,11,15,20:36:47,72.83,3.5
2025,11,15,20:36:48,32.44,2.83
2025,11,15,20:36:50,57.75,4.56
2025,11,15,20:36:51,44.63,3.62
2025,11,15,20:36:52,30.9,0.73
2025,11,15,20:36:53,96.44,2.11
2025,11,15,20:36:54,48.17,1.68
2025,11,15,20:36:55,36.03,4.47
2025,11,15,20:36:56,61.4,0.7
2025,11,15,20:36:57,46.3,0.52
2025,11,15,20:36:58,29.62,4.17
2025,11,15,20:36:59,82.98,0.93
2025,11,15,20:37:00,50.12,3.38
2025,11,15,20:37:01,62.96,4.22
2025,11,15,20:37:02,24.91,0.16
2025,11,15,20:37:03,24.0,1.9
2025,11,15,20:37:05,42.71,0.55
2025,11,15,20:37:06,56.07,4.99
2025,11,15,20:37:07,88.65,2.22
2025,11,15,20:37:08,57.33,3.56
2025,11,15,20:37:09,31.37,3.62
2025,11,15,20:37:10,13.86,2.93
2025,11,15,20:37:11,31.31,3.13
2025,11,15,20:37:12,39.64,1.92
2025,11,15,20:39:35,35.13,4.31
2025,11,15,20:39:37,0.75,2.54
2025,11,15,20:39:38,92.96,0.87
